0,9.51,12.23,0
1,13.34,3.19,0
2,8.4,7.84,0
3,6.28,17.5,0
4,7.16,13.18,0
5,15.9,7.73,0
6,14.19,1.6,0
7,9.82,12.64,1
8,5.24,17.14,0
9,12.45,16.91,1
10,11.7,1.02,1
11,0.93,1.4,0
12,2.4,4.65,0
13,12.51,1.57,0
14,11.59,12.08,0
15,4.58,11.71,0
16,10.97,1.75,0
17,17.31,14.76,0
18,9.24,10.8,0
19,13.23,11.94,0
20,1.47,14.06,1
21,7.56,14.73,0
22,17.83,15.35,0
23,7.08,2.15,0
24,11.22,0.92,0
25,9.72,12.74,1
26,1.72,8.89,0
27,10.82,2.7,0
28,1.57,6.41,0
29,8.58,3.05,0
30,12.22,0.3,0
31,10.04,10.53,1
32,16.36,4.67,1
33,9.62,3.2,0
34,0.48,14.97,0
35,5.35,10.01,0
36,8.71,15.93,1
37,0.85,2.41,0
38,1.06,6.18,0
39,12.95,9.39,0
40,12.41,4.74,0
41,6.37,4.25,0
42,5.21,3.98,1
43,2.59,5.51,0
44,6.25,3.69,0
45,15.58,5.36,1
46,5.52,12.79,0
47,5.66,10.05,0
48,0.78,13.76,0
49,11.99,16.26,0
50,14.3,7.72,0
51,9.51,12.23,0
