0,0.79,5.58,0
1,13.28,11.35,1
2,1.42,6.73,0
3,16.16,4.96,0
4,16.65,0.24,1
5,9.37,10.13,0
6,15.41,13.13,0
7,16.24,1.04,0
8,10.18,13.19,0
9,17.59,6.55,0
10,5.14,17.73,0
11,9.9,7.07,0
12,6.17,4.5,0
13,1.29,9.46,0
14,14.17,2.74,0
15,15.96,10.66,0
16,0.78,17.61,0
17,2.41,14.11,0
18,4.8,2.06,0
19,12.72,1.86,0
20,2.74,0.94,0
21,5.69,0.57,0
22,17.78,15.52,0
23,4.7,16.4,0
24,8.61,5.51,0
25,6.11,13.03,0
26,11.84,0.21,1
27,2.02,16.51,0
28,0.18,12.82,0
29,8.86,2.36,0
30,7.04,0.69,1
31,1.86,6.06,1
32,4.58,4.42,0
33,12.84,14.68,0
34,12.47,2.75,0
35,2.66,5.7,0
36,8.79,4.63,0
37,12.89,0.99,0
38,9.35,5.44,0
39,13.71,0.65,0
40,10.64,10.76,0
41,8.65,6.23,0
42,9.36,1.02,0
43,14.88,9.03,0
44,15.9,13.87,0
45,8.02,9.37,1
46,10.55,14.06,1
47,10.06,0.48,0
48,5.21,8.64,1
49,5.76,2.41,1
50,15.31,8.47,1
51,0.79,5.58,0
