0,11.98,2.43,0
1,14.7,14.08,0
2,2.05,13.3,0
3,0.45,9.03,0
4,7.29,9.93,0
5,0.81,1.5,0
6,8.05,10.8,0
7,4.44,1.21,0
8,1.94,3.46,1
9,11.46,14.08,0
10,1.41,3.94,0
11,11.46,13.47,0
12,13.9,5.57,0
13,8.49,1.66,0
14,2.59,8.25,1
15,7.28,13.56,1
16,7.48,6.02,0
17,0.75,14.42,0
18,14.71,7.61,0
19,14.27,15.21,0
20,16.41,8.77,0
21,1.64,5.92,1
22,13.79,12.83,0
23,15.94,2.14,0
24,12.93,4.98,0
25,1.41,10.04,0
26,4.39,0.29,0
27,5.96,0.71,1
28,6.71,12.85,0
29,11.79,13.79,0
30,16.7,2.69,1
31,17.93,7.46,0
32,15.08,6.8,0
33,16.14,10.67,0
34,1.83,0.34,0
35,1.02,8.45,0
36,5.38,11.72,0
37,7.4,16.51,0
38,6.17,3.32,1
39,13.52,5.78,0
40,1.46,6.89,1
41,11.4,7.56,1
42,13.74,8.99,0
43,0.63,17.42,1
44,13.88,2.6,0
45,17.3,7.54,0
46,8.91,7.26,0
47,6.44,13.27,0
48,16.03,8.53,0
49,3.67,8.98,0
50,8.61,1.07,0
51,11.98,2.43,0
