0,9.7,7.07,0
1,9.86,13.55,0
2,10.36,8.71,0
3,5.27,5.58,0
4,2.66,12.45,0
5,10.13,11.43,1
6,8.69,9.29,0
7,5.43,13.17,1
8,5.97,9.67,0
9,13.83,0.41,0
10,2.56,8.52,0
11,6.45,9.09,0
12,7.47,6.39,0
13,9.04,3.04,0
14,10.87,9.42,0
15,4.85,13.37,1
16,6.66,0.38,0
17,2.04,9.11,0
18,5.71,2.39,0
19,3.02,5.22,0
20,6.24,5.35,1
21,3.28,2.96,0
22,1.47,6.38,0
23,12.76,6.51,0
24,6,2,0
25,0.4,12.24,0
26,12.2,0.39,0
27,8.52,9.07,0
28,5.94,0.22,0
29,12.05,12.33,0
30,6.73,10.72,0
31,9.7,7.07,0
